Power,Frequency
32.3985896582,535.22954715
44.124688322,69.598168224
40.7678894112,485.462483569
11.5013060329,350.502873036
10.8332547261,286.5863951
11.9740993624,367.138436556
37.5992528754,241.991009062
30.8355231913,521.596881565
7.12843795962,301.132357998
20.6253232551,390.507945699
38.0712761851,148.205295833
50.5891266036,127.632610968
55.9933498754,146.977753768
39.1820169492,496.062449114
46.4140075299,82.3657994203
10.8462120181,363.057888678
38.9744089914,445.138228198
38.8448284412,424.408693216
13.6254804939,441.840404208
41.8083789254,113.425548279
9.73501225877,349.855147594
38.5280392937,436.67394578
41.9658989184,123.151753438
32.4853679795,498.723857638
3.52486879031,296.339658229
7.28017735516,331.858771529
31.7199359601,408.377835886
6.78128345124,323.291057904
50.645282703,156.249088843
51.201766037,203.858677472
14.8803589715,322.595285635
31.6089376779,532.101319091
40.0888580406,399.275849965
48.5352079042,150.375417804
51.6189401013,79.5723339841
2.17193936037,307.793639647
50.2213841011,132.961169042
17.3219463864,212.828992816
33.1131204132,506.341192309
39.8379832277,169.285334949
11.2756898101,397.442220111
49.1843936588,169.208557718
31.2253575234,457.487730508
43.6858539183,65.4451496037
44.6122374161,114.715010071
12.75060273,345.604293929
49.1548837409,89.1101854473
9.96901487703,188.481073393
17.5739301904,365.588273451
44.7594055297,82.9715166958
9.08439960043,354.28344388
46.9643401335,251.602540859
8.54083095996,405.680515666
16.0035589802,343.734505592
42.1185461705,102.232478351
32.4262089635,481.976002535
35.6226839307,519.501552535
14.4244112423,393.186833932
0.110090782075,341.804935219
44.6265968573,552.84667124
42.9729502119,121.467277209
57.5322367556,158.271032128
33.5910374822,480.970260659
6.03517021459,405.859629717
51.9608315347,126.293436986
0.487859667708,353.362446884
36.7662866943,420.974057858
45.755430068,157.269160386
33.7834703936,513.200397492
45.0383678342,159.568868307
17.8378528742,309.193038233
19.5309341716,426.767691504
0.0830253416479,383.990841158
16.3101236757,335.032852709
47.084167416,192.653556293
38.0040756758,528.210684569
49.1522982095,133.858846512
9.34336465523,291.846733165
35.1167915958,467.409773866
37.2952868974,494.502327632
4.90114528644,311.28534384
41.5669949044,495.315115392
54.5753344548,104.293906766
30.3831637329,456.299502504
33.2648858035,556.529462515
48.8784246598,526.602707094
40.6323706694,114.100371826
4.69828636996,380.8031236
36.6214927588,565.045868827
32.9456524646,444.901243857
17.4126940961,329.077436066
55.0855687922,181.393962967
4.17881314236,361.654167185
44.4330961513,469.120819557
50.3579995966,109.976967503
47.1618549887,104.757455794
30.610275793,527.848568153
38.9099829609,156.540455631
3.76778723661,262.399839918
35.1927312292,410.631168074
51.2215409778,130.787694086
16.4072612322,409.536429453
37.0152008891,568.67225744
51.4886168854,79.3191182336
42.4609987649,512.141919281
41.6989606243,471.62822809
7.07543701556,356.529086359
38.7445327713,514.707391154
44.229173835,185.929402242
41.0813828573,71.4304907039
31.7914865765,513.458458659
13.6898604212,359.75000281
47.7788805319,546.205130217
37.597261249,499.478200917
10.6227326392,331.675986944
10.0077327521,318.596421476
31.4407840883,481.986986708
46.3004955876,524.680965659
36.4748540673,87.641023812
51.0845906245,115.730376624
39.2621461172,158.130389764
0.732939574472,360.863178888
44.2924259754,215.585218706
